Name,Type,Avg. Price
Volkswagen,Petrol,15176.1449
Vauxhall,Petrol,10114.5989
Toyota,Petrol,9754.5946
Skoda,Petrol,13211.495
Mercedes-benz,Petrol,28240.6533
Hyundai,Petrol,10919.4482
Ford,Petrol,11602.6326
Bmw,Petrol,24322.2799
Audi,Petrol,22431.6418
Volkswagen,Other,21358.1047
Vauxhall,Other,5200
Toyota,Other,14121.1619
Skoda,Other,14957.7778
Mercedes-benz,Other,21991.2857
Hyundai,Other,12800
Ford,Other,13800
Bmw,Other,18193.8611
Volkswagen,Hybrid,24457.6408
Vauxhall,Hybrid,10947.5
Toyota,Hybrid,17187.8118
Skoda,Hybrid,31225.9444
Mercedes-benz,Hybrid,22836.5471
Hyundai,Hybrid,19101.4794
Ford,Hybrid,22149.0909
Bmw,Hybrid,27154.9663
Audi,Hybrid,30191.75
Vauxhall,Electric,12999
Ford,Electric,15737.5
Bmw,Electric,18466
Volkswagen,Diesel,18767.9029
Vauxhall,Diesel,11071.7448
Toyota,Diesel,15740.1633
Skoda,Diesel,16291.4809
Mercedes-benz,Diesel,23216.5317
Hyundai,Diesel,14586.7492
Ford,Diesel,13642.6009
Bmw,Diesel,21749.4488
Audi,Diesel,23198.2062
